User ID,Violative,Frequency,Timestamp (minutes),Previous Violations,Severity,Action
201,1,4,32,1,Critical,Ban
202,1,4,25,3,Critical,Ban
203,0,1,40,5,Medium,Restrict
204,0,1,43,2,Low,Restrict
205,0,1,32,4,Low,Allow
206,0,2,38,0,No,Allow
207,0,2,34,6,Low,Warn
208,1,4,25,4,Critical,Ban
209,0,1,25,5,Low,Warn
210,0,2,56,5,Low,Warn
211,1,1,44,1,Medium,Warn
212,0,2,14,3,Medium,Allow
213,0,1,59,6,Low,Warn
214,1,2,46,1,Medium,Warn
215,1,3,12,5,Critical,Ban
216,1,3,47,2,High,Ban
217,0,1,40,4,Low,Allow
218,0,1,56,3,Low,Allow
219,1,1,34,4,High,Warn
220,0,1,36,5,Low,Allow
221,0,1,26,2,Low,Warn
222,0,2,26,1,No,Allow
223,1,3,41,2,High,Restrict
224,1,2,52,4,High,Restrict
225,0,2,55,5,Low,Restrict
226,1,3,49,5,Critical,Ban
227,0,1,41,2,Low,Warn
228,0,2,35,6,Low,Allow
229,0,1,27,0,No,Allow
230,0,1,49,0,No,Allow
231,0,1,26,0,No,Allow
232,0,2,23,6,Medium,Allow
233,1,1,54,1,Medium,Restrict
234,0,1,40,4,Low,Allow
235,1,4,28,5,Critical,Ban
236,1,3,54,5,Critical,Restrict
237,0,2,59,6,Low,Allow
238,1,2,26,0,Medium,Restrict
239,0,2,36,2,Low,Warn
240,0,1,34,3,Low,Allow
241,1,3,45,4,Critical,Ban
242,1,1,58,4,High,Restrict
243,0,2,37,3,Low,Warn
244,0,1,50,2,Low,Allow
245,0,1,40,0,No,Allow
246,1,2,55,3,High,Ban
247,0,1,30,1,No,Allow
248,0,1,29,3,Low,Warn
249,0,2,31,5,Low,Allow
250,0,1,60,3,Low,Allow
251,1,3,41,4,Critical,Ban
252,1,1,17,0,Medium,Restrict
253,0,2,12,4,Low,Restrict
254,0,1,36,3,Low,Allow
255,0,1,51,0,No,Allow
256,1,1,34,1,Medium,Warn
257,1,3,38,5,Critical,Restrict
258,0,1,50,6,Low,Allow
259,0,2,36,3,Low,Warn
260,0,1,56,6,Low,Warn
261,0,1,42,1,No,Allow
262,1,2,47,2,High,Warn
263,0,1,49,6,Low,Allow
264,0,2,41,1,No,Warn
265,1,3,12,4,Critical,Ban
266,0,2,31,1,No,Allow
267,0,1,17,2,Low,Allow
268,0,2,36,3,Low,Allow
269,0,1,17,2,Low,Warn
270,0,2,35,6,Low,Allow
271,0,2,27,6,Medium,Warn
272,0,2,11,3,Low,Allow
273,0,2,16,3,Low,Allow
274,0,1,35,0,No,Allow
275,1,3,14,1,High,Warn
276,0,2,53,0,No,Allow
277,0,1,48,5,Low,Allow
278,0,2,46,1,No,Allow
279,1,1,18,2,High,Ban
280,1,2,50,5,Critical,Ban
281,0,1,42,4,Medium,Warn
282,0,2,29,4,Low,Allow
283,0,1,10,0,No,Allow
284,0,1,36,3,Medium,Restrict
285,0,1,50,3,Low,Allow
286,0,2,11,2,Low,Warn
287,0,2,12,5,Low,Allow
288,0,2,29,6,Low,Allow
289,0,2,36,1,No,Allow
290,0,1,34,2,Low,Allow
291,1,2,31,2,High,Restrict
292,0,2,23,5,Low,Warn
293,1,1,13,0,Medium,Warn
294,0,1,11,6,Low,Allow
295,1,1,15,5,Critical,Ban
296,1,3,45,3,Critical,Restrict
297,1,1,50,4,High,Restrict
298,1,4,32,6,Critical,Ban
299,1,2,13,5,Critical,Restrict
300,0,1,31,1,No,Allow
301,1,2,60,0,Medium,Restrict
302,0,2,22,4,Low,Allow
303,0,1,35,1,No,Allow
304,0,1,37,0,No,Allow
305,1,2,26,6,Critical,Ban
306,0,2,32,3,Low,Allow
307,0,2,34,4,Low,Allow
308,0,2,34,1,No,Allow
309,0,2,46,0,No,Allow
310,0,2,39,0,No,Allow
311,0,2,12,2,Low,Warn
312,0,2,10,0,No,Allow
313,0,1,30,2,Low,Allow
314,0,1,56,2,Low,Warn
315,0,2,11,3,Low,Allow
316,0,1,13,4,Medium,Warn
317,0,2,44,2,Low,Restrict
318,1,4,32,3,Critical,Restrict
319,0,2,21,0,No,Allow
320,1,2,20,2,High,Ban
321,1,4,43,6,Critical,Restrict
322,0,1,36,6,Low,Allow
323,0,1,42,3,Low,Warn
324,0,1,24,6,Low,Allow
325,1,4,36,3,Critical,Ban
326,1,1,53,0,Low,Warn
327,1,1,26,6,Critical,Ban
328,0,1,30,2,Medium,Restrict
329,0,1,18,4,Medium,Restrict
330,0,2,42,4,Low,Warn
331,1,1,11,2,High,Restrict
332,0,1,22,5,Medium,Warn
333,1,1,46,3,High,Ban
334,1,1,10,2,High,Ban
335,0,2,60,2,Low,Warn
336,0,1,30,5,Low,Allow
337,0,2,30,1,No,Allow
338,1,1,37,0,Medium,Warn
339,0,2,42,6,Low,Warn
340,1,3,33,2,High,Restrict
341,0,1,55,4,Low,Warn
342,1,4,59,5,Critical,Ban
343,1,3,20,5,Critical,Ban
344,0,1,46,4,Medium,Warn
345,1,1,25,4,High,Restrict
346,1,3,60,5,Critical,Ban
347,1,3,22,6,Critical,Ban
348,0,1,25,0,No,Allow
349,0,2,46,5,Low,Warn
350,0,1,50,1,No,Allow
351,0,2,16,6,Low,Warn
352,0,2,38,0,No,Allow
353,0,2,27,1,No,Allow
354,0,1,41,1,No,Allow
355,0,1,38,4,Medium,Warn
356,0,2,60,0,No,Allow
357,1,3,57,0,Medium,Warn
358,1,1,43,3,High,Restrict
359,0,2,44,6,Medium,Warn
360,0,2,55,3,Low,Allow
361,1,3,19,3,Critical,Ban
362,0,2,47,4,Low,Restrict
363,0,1,49,3,Low,Allow
364,0,2,16,2,Low,Allow
365,1,4,54,4,Critical,Ban
366,0,2,45,0,No,Allow
367,1,4,27,1,Critical,Ban
368,1,1,34,4,High,Ban
369,0,2,34,2,Medium,Warn
370,1,1,56,0,Low,Warn
371,1,4,59,0,High,Restrict
372,0,1,51,6,Low,Warn
373,0,1,43,2,Low,Allow
374,0,2,15,0,No,Allow
375,0,1,56,5,Low,Warn
376,0,2,16,3,Low,Warn
377,1,1,18,3,High,Restrict
378,0,1,13,6,Low,Allow
379,0,1,58,2,Medium,Warn
380,1,2,35,4,Critical,Restrict
381,0,2,22,5,Low,Allow
382,1,1,14,4,Critical,Ban
383,1,3,31,1,High,Restrict
384,0,2,46,4,Medium,Warn
385,0,1,60,5,Low,Allow
386,1,3,38,0,Medium,Warn
387,1,2,40,1,Medium,Restrict
388,1,3,52,4,Critical,Restrict
389,0,1,55,0,No,Allow
390,1,3,24,6,Critical,Ban
391,0,1,60,0,No,Allow
392,0,2,36,6,Low,Allow
393,0,1,57,4,Low,Allow
394,1,3,15,3,Critical,Ban
395,0,2,14,1,No,Warn
396,0,2,55,2,Medium,Restrict
397,1,3,44,5,Critical,Ban
398,0,1,18,5,Low,Allow
399,0,1,55,1,No,Allow
400,0,2,15,3,Low,Allow
401,0,1,44,6,Medium,Restrict
402,1,4,20,1,Critical,Ban
403,1,2,13,4,Critical,Ban
404,0,2,51,1,No,Allow
405,1,4,53,5,Critical,Ban
406,1,4,15,1,Critical,Restrict
407,0,1,14,2,Medium,Warn
408,1,3,41,3,Critical,Ban
409,0,1,11,2,Low,Allow
410,1,4,48,1,High,Restrict
411,1,4,56,4,Critical,Ban
412,1,2,48,0,Medium,Warn
413,0,1,21,6,Low,Allow
414,1,1,19,0,Medium,Restrict
415,0,1,44,2,Low,Warn
416,0,1,13,6,Low,Allow
417,0,1,37,1,No,Allow
418,1,1,32,0,Medium,Restrict
419,0,2,47,5,Low,Allow
420,1,1,20,0,Medium,Warn
421,1,3,48,6,Critical,Restrict
422,0,2,45,3,Low,Allow
423,0,2,22,6,Medium,Warn
424,0,1,28,1,No,Allow
425,0,1,13,0,No,Allow
426,1,4,32,6,Critical,Ban
427,0,1,23,5,Low,Allow
428,1,3,15,6,Critical,Ban
429,0,2,38,2,Medium,Restrict
430,1,1,38,2,Medium,Warn
431,1,4,14,4,Critical,Ban
432,1,3,19,3,Critical,Ban
433,1,2,14,1,High,Ban
434,1,2,44,2,High,Restrict
435,0,2,27,4,Medium,Warn
436,0,2,13,0,No,Allow
437,0,2,19,2,Low,Allow
438,0,2,59,2,Low,Warn
439,1,1,23,0,Medium,Warn
440,0,1,44,0,No,Allow
441,1,4,33,3,Critical,Restrict
442,0,1,19,0,No,Allow
443,1,3,25,2,Critical,Ban
444,0,1,10,3,Low,Allow
445,0,2,48,6,Low,Allow
446,1,4,27,0,High,Warn
447,1,2,35,3,High,Restrict
448,0,1,17,0,No,Allow
449,0,2,52,3,Medium,Restrict
450,0,2,21,3,Low,Allow
451,0,2,38,5,Low,Allow
452,1,4,54,3,Critical,Restrict
453,1,4,46,6,Critical,Ban
454,0,2,40,0,No,Allow
455,0,2,55,0,No,Allow
456,0,1,18,0,No,Allow
457,1,2,59,2,Medium,Warn
458,0,1,38,1,No,Allow
459,1,2,30,0,Medium,Warn
460,0,2,23,1,No,Allow
461,0,1,47,6,Medium,Warn
462,0,1,59,5,Low,Warn
463,1,1,45,0,Low,Allow
464,0,2,11,6,Low,Allow
465,0,1,33,1,No,Allow
466,1,3,47,2,High,Ban
467,0,2,30,2,Low,Allow
468,1,1,49,2,Medium,Restrict
469,0,2,46,5,Low,Allow
470,0,2,13,4,Low,Warn
471,0,1,38,4,Low,Warn
472,0,2,18,4,Low,Allow
473,0,1,34,5,Medium,Restrict
474,0,1,29,1,No,Allow
475,0,2,51,2,Low,Allow
476,0,1,54,0,No,Allow
477,0,2,33,4,Medium,Restrict
478,0,1,37,3,Low,Allow
479,0,2,41,4,Low,Allow
480,0,2,43,3,Low,Allow
481,0,1,42,1,No,Allow
482,0,1,49,0,No,Allow
483,0,2,60,6,Medium,Warn
484,0,1,52,2,Low,Allow
485,0,1,16,0,No,Allow
486,0,1,34,2,Low,Allow
487,0,2,33,6,Low,Allow
488,0,1,35,1,No,Allow
489,0,2,36,6,Low,Allow
490,0,1,46,3,Low,Warn
491,1,4,31,6,Critical,Ban
492,0,1,23,4,Medium,Restrict
493,1,2,33,0,Medium,Warn
494,0,1,53,3,Low,Allow
495,1,2,25,2,High,Restrict
496,0,2,11,1,No,Allow
497,0,1,59,3,Low,Allow
498,0,1,19,0,No,Allow
499,0,1,40,4,Low,Warn
500,0,1,50,5,Low,Warn
501,1,1,23,0,Medium,Warn
502,1,4,27,3,Critical,Restrict
503,1,3,24,4,Critical,Ban
504,0,2,17,0,No,Allow
505,0,1,17,2,Medium,Warn
506,1,2,19,1,High,Restrict
507,0,1,33,0,No,Allow
508,1,2,37,5,Critical,Ban
509,0,1,10,3,Low,Allow
510,0,2,53,5,Low,Allow
511,0,1,44,4,Low,Allow
512,1,4,13,6,Critical,Ban
513,0,1,52,6,Low,Allow
514,0,2,11,4,Low,Allow
515,0,2,38,2,Low,Warn
516,0,2,33,2,Medium,Warn
517,0,1,35,5,Low,Warn
518,1,3,58,2,High,Warn
519,0,2,57,3,Low,Allow
520,1,1,24,1,Medium,Warn
521,1,1,39,6,Critical,Ban
522,0,2,58,4,Medium,Restrict
523,0,2,47,2,Low,Allow
524,0,2,55,4,Medium,Warn
525,0,2,32,2,Medium,Warn
526,0,1,24,1,No,Allow
527,1,1,36,6,Critical,Ban
528,1,2,51,6,Critical,Ban
529,1,4,57,5,Critical,Restrict
530,0,2,44,2,Low,Allow
531,1,1,46,1,Medium,Warn
532,1,1,36,0,Medium,Warn
533,0,2,26,5,Low,Warn
534,0,2,31,2,Low,Allow
535,0,1,35,6,Low,Allow
536,0,2,51,6,Low,Allow
537,0,1,38,0,No,Allow
538,0,2,50,6,Low,Warn
539,0,2,11,0,No,Allow
540,1,1,48,3,Medium,Warn
541,1,4,35,3,Critical,Ban
542,0,2,60,6,Low,Allow
543,1,2,34,4,Critical,Ban
544,1,3,34,6,Critical,Ban
545,0,1,16,4,Low,Allow
546,0,2,51,5,Low,Allow
547,0,2,45,5,Low,Warn
548,0,2,53,6,Low,Allow
549,1,3,14,2,Critical,Restrict
550,0,2,20,2,Low,Allow
551,0,1,54,6,Medium,Warn
552,0,1,12,5,Low,Allow
553,0,1,35,6,Low,Allow
554,1,2,30,4,Critical,Ban
555,0,2,57,6,Low,Allow
556,0,1,53,5,Low,Allow
557,0,1,55,5,Low,Restrict
558,0,2,24,1,No,Allow
559,0,2,39,3,Medium,Warn
560,0,2,45,5,Low,Allow
561,0,1,59,5,Low,Allow
562,0,1,10,6,Medium,Restrict
563,1,2,59,2,Medium,Restrict
564,0,1,28,2,Low,Allow
565,0,2,16,6,Low,Restrict
566,1,2,41,6,Critical,Ban
567,1,1,49,1,Medium,Warn
568,0,2,16,2,Low,Allow
569,0,1,12,6,Medium,Restrict
570,0,1,55,1,No,Allow
571,0,2,57,5,Medium,Restrict
572,1,3,17,0,High,Restrict
573,0,1,56,1,No,Allow
574,1,3,56,5,Critical,Ban
575,1,1,60,4,High,Restrict
576,0,2,21,3,Low,Allow
577,1,1,39,5,High,Warn
578,0,1,60,2,Medium,Warn
579,1,1,56,3,Medium,Restrict
580,0,1,40,4,Low,Allow
581,0,1,20,5,Low,Allow
582,0,2,14,2,Low,Allow
583,0,1,23,4,Low,Allow
584,0,2,13,3,Medium,Warn
585,1,3,19,3,Critical,Ban
586,0,2,13,6,Low,Allow
587,0,1,48,2,Low,Allow
588,0,1,40,4,Low,Allow
589,0,2,36,6,Low,Allow
590,0,1,51,5,Low,Allow
591,1,1,30,6,Critical,Ban
592,0,1,30,4,Low,Allow
593,0,1,20,1,No,Allow
594,0,2,32,6,Low,Allow
595,0,2,18,4,Low,Warn
596,0,1,40,1,No,Allow
597,1,4,60,2,High,Ban
598,0,1,37,1,No,Allow
599,1,1,25,5,Critical,Restrict
600,0,2,45,0,No,Allow
601,0,2,51,5,Low,Allow
602,1,4,34,3,Critical,Ban
603,1,2,22,0,Medium,Restrict
604,1,2,46,4,High,Restrict
605,1,2,19,5,Critical,Ban
606,1,2,60,5,Critical,Ban
607,1,4,26,3,Critical,Ban
608,0,1,27,2,Low,Warn
609,1,1,47,1,Medium,Warn
610,0,1,10,0,No,Allow
611,0,1,20,2,Medium,Warn
612,1,1,16,4,Critical,Ban
613,1,4,29,0,High,Ban
614,1,1,38,6,Critical,Ban
615,0,2,19,4,Low,Warn
616,1,1,27,2,High,Ban
617,1,2,49,6,Critical,Restrict
618,0,2,57,1,No,Warn
619,0,2,10,6,Low,Warn
620,0,2,41,1,No,Allow
621,1,1,11,2,High,Ban
622,0,2,36,2,Low,Warn
623,1,4,54,6,Critical,Restrict
624,0,1,50,1,No,Allow
625,1,3,21,6,Critical,Ban
626,0,1,23,2,Low,Allow
627,1,4,49,1,High,Ban
628,0,1,51,4,Low,Allow
629,0,2,24,4,Low,Allow
630,1,2,10,2,High,Restrict
631,1,2,32,0,Medium,Warn
632,1,1,41,2,Medium,Allow
633,0,1,32,3,Low,Restrict
634,0,1,57,0,No,Allow
635,0,1,51,0,No,Allow
636,0,2,50,6,Low,Warn
637,1,1,11,0,Medium,Restrict
638,1,1,53,2,Medium,Restrict
639,1,4,48,5,Critical,Restrict
640,1,2,30,2,High,Restrict
641,1,2,40,3,High,Restrict
642,1,1,52,0,Low,Allow
643,0,2,56,5,Low,Allow
644,0,1,38,4,Low,Allow
645,0,1,12,5,Low,Warn
646,1,3,41,6,Critical,Ban
647,0,2,44,2,Low,Warn
648,0,1,13,0,No,Allow
649,1,3,51,2,High,Restrict
650,0,1,20,1,No,Warn
651,0,1,55,3,Low,Allow
652,1,4,38,1,High,Ban
653,1,4,26,6,Critical,Ban
654,0,1,12,4,Low,Allow
655,1,1,10,1,High,Restrict
656,0,1,47,6,Medium,Warn
657,1,4,29,5,Critical,Ban
658,0,2,52,3,Low,Allow
659,0,1,21,1,No,Allow
660,0,1,56,2,Low,Allow
661,0,2,58,4,Low,Allow
662,1,4,15,5,Critical,Ban
663,0,1,42,1,No,Allow
664,0,1,57,5,Low,Allow
665,0,1,26,1,No,Warn
666,1,1,13,1,Medium,Warn
667,1,1,54,3,Medium,Warn
668,1,1,34,1,Medium,Restrict
669,0,2,11,2,Low,Warn
670,0,1,52,2,Low,Restrict
671,0,1,44,1,No,Warn
672,0,2,13,5,Low,Warn
673,1,2,23,2,High,Restrict
674,1,3,10,4,Critical,Ban
675,0,2,58,5,Low,Allow
676,0,1,11,4,Low,Allow
677,1,4,50,1,High,Restrict
678,0,2,36,5,Low,Warn
679,0,2,39,1,No,Allow
680,0,1,51,1,No,Allow
681,0,1,55,6,Medium,Restrict
682,0,1,16,2,Low,Warn
683,0,2,10,4,Low,Warn
684,0,1,16,0,No,Allow
685,0,2,44,4,Low,Allow
686,0,2,38,6,Medium,Warn
687,0,2,14,4,Medium,Warn
688,1,1,21,4,High,Restrict
689,1,3,37,5,Critical,Ban
690,0,2,47,2,Low,Restrict
691,0,1,27,2,Low,Warn
692,1,3,58,0,Medium,Warn
693,0,2,60,4,Medium,Warn
694,0,2,49,5,Low,Allow
695,1,1,33,5,Critical,Ban
696,0,2,54,5,Medium,Allow
697,1,4,47,0,High,Restrict
698,0,1,36,4,Low,Allow
699,1,2,32,5,Critical,Ban
700,0,1,52,1,No,Allow
701,0,2,38,3,Low,Allow
702,0,1,19,6,Medium,Warn
703,0,2,60,2,Low,Allow
704,1,1,13,5,Critical,Ban
705,0,2,45,3,Low,Allow
706,0,1,43,4,Low,Warn
707,1,1,39,4,High,Warn
708,1,2,12,4,Critical,Restrict
709,0,2,35,5,Low,Allow
710,0,1,55,6,Low,Allow
711,1,2,22,2,High,Warn
712,1,2,45,6,Critical,Restrict
713,1,3,53,4,Critical,Ban
714,1,3,58,4,Critical,Ban
715,1,4,36,2,Critical,Ban
716,0,2,26,2,Low,Restrict
717,0,2,45,4,Low,Allow
718,0,2,34,2,Low,Allow
719,1,1,41,2,Medium,Warn
720,1,3,47,5,Critical,Restrict
721,0,2,46,2,Low,Allow
722,0,2,22,4,Low,Allow
723,0,2,48,0,No,Allow
724,1,2,37,0,Medium,Warn
725,0,1,57,5,Low,Allow
726,0,1,43,0,No,Allow
727,0,1,55,5,Low,Warn
728,0,2,59,6,Low,Warn
729,0,1,60,3,Low,Allow
730,0,2,47,6,Low,Allow
731,0,2,40,2,Low,Allow
732,0,2,16,6,Low,Restrict
733,0,2,29,1,No,Allow
734,0,1,34,2,Medium,Restrict
735,0,2,49,2,Medium,Restrict
736,1,3,40,5,Critical,Ban
737,0,1,32,0,No,Allow
738,0,1,17,5,Low,Warn
739,0,1,46,0,No,Allow
740,0,2,32,2,Low,Allow
741,0,1,11,4,Low,Allow
742,0,1,24,1,No,Allow
743,1,3,54,3,High,Ban
744,0,1,16,6,Low,Allow
745,0,2,30,5,Low,Allow
746,0,1,36,0,No,Allow
747,0,2,14,4,Low,Allow
748,0,1,18,4,Low,Allow
749,1,2,57,0,Medium,Warn
750,1,3,40,4,Critical,Ban
751,0,1,20,3,Low,Allow
752,0,1,18,4,Low,Allow
753,0,2,31,2,Low,Restrict
754,0,2,46,1,No,Allow
755,1,3,47,5,Critical,Ban
756,0,2,19,5,Low,Warn
757,0,2,47,1,No,Allow
758,1,2,55,1,Medium,Warn
759,0,1,21,4,Low,Allow
760,0,2,11,5,Low,Allow
761,1,1,58,1,Low,Allow
762,0,2,36,1,No,Warn
763,0,1,49,5,Medium,Warn
764,0,1,26,4,Medium,Warn
765,1,2,25,6,Critical,Ban
766,0,1,21,5,Medium,Warn
767,0,2,21,6,Low,Warn
768,0,1,34,1,No,Allow
769,0,1,15,1,No,Allow
770,0,1,52,1,No,Allow
771,0,1,36,0,No,Allow
772,0,2,56,5,Low,Allow
773,0,1,35,4,Low,Allow
774,1,3,25,0,High,Restrict
775,0,1,36,1,No,Allow
776,1,4,17,1,Critical,Ban
777,0,1,52,2,Low,Warn
778,0,2,46,3,Low,Allow
779,1,1,17,2,High,Ban
780,1,2,39,6,Critical,Ban
781,0,2,37,1,No,Allow
782,1,1,20,3,High,Restrict
783,0,1,16,3,Low,Restrict
784,0,2,48,2,Low,Warn
785,1,1,23,5,Critical,Ban
786,0,1,36,6,Medium,Allow
787,1,3,22,0,High,Restrict
788,0,1,43,3,Low,Allow
789,1,1,12,0,Medium,Warn
790,0,2,28,3,Low,Warn
791,0,1,37,4,Medium,Warn
792,0,2,32,2,Low,Allow
793,0,2,41,2,Low,Allow
794,0,1,19,2,Low,Allow
795,0,1,32,2,Low,Allow
796,0,1,48,2,Low,Allow
797,0,2,27,2,Low,Restrict
798,0,1,18,4,Medium,Warn
799,1,2,53,0,Medium,Warn
800,1,3,49,0,Medium,Warn
801,1,4,44,3,Critical,Ban
802,0,2,50,4,Low,Allow
803,1,3,49,1,High,Restrict
804,0,2,48,1,No,Allow
805,0,2,35,4,Low,Allow
806,0,2,10,2,Low,Allow
807,1,2,40,5,Critical,Ban
